Stationscode;Stationsname;Netzwerk;Schadstoff;Datentyp;Zeit;"Messwert (in �g/m�)"
DEBY058;N�rnberg/Muggenhof;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";83
DEHE026;Spessart;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";94
DENI041;Weserbergland;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";75
DENW080;Solingen-Wald;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";88
DESH013;Fehmarn;SH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";71
DEST090;Leuna;ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";90
DEBB021;Potsdam-Zentrum;BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";64
DEBW029;Aalen;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";112
DEBY068;Schweinfurt/Obertor;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";91
DEHE032;Bebra;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";87
DENI051;Wurmberg;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";83
DENW095;M�nster-Geist;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";83
DESH016;Barsb�ttel;SH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";64
DEST105;"Stendal Stadtsee";ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";59
DEBB048;Neuruppin;BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";57
DEBW038;Friedrichshafen;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";93
DEBY077;W�rzburg/Kopfklinik;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";95
DEHE043;Riedstadt;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";102
DENI054;Hannover;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";69
DENW179;Schwerte;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";36
DESN001;Annaberg-Buchholz;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";82
DETH009;"Gera Friedericistr.";TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";79
DEBB063;Wittenberge;BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";66
DEBW052;Konstanz;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";93
DEBY089;M�nchen/Johanneskirchen;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";99
DEHE046;"Bad Arolsen";HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";64
DENI060;Wendland;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";66
DERP007;Mainz-Mombach;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";92
DESN049;Carlsfeld;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";88
DETH018;Nordhausen;TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";81
DEBB066;Spreewald;BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";81
DEBW073;Neuenburg;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";105
DEBY109;Andechs/Rothenfeld;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";95
DEHE052;"Kleiner Feldberg";HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";90
DENI070;Salzgitter-Dr�tte;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";69
DERP015;"Westeifel Wascheid";RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";90
DESN053;Fichtelberg;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";86
DETH027;Neuhaus;TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";96
DEBB083;Spremberg;BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";89
DEBW084;Freiburg;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";95
DEBY124;"Burgbernheim/Gr�ne Au";BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";94
DEHH033;"Hamburg Flughafen Nord";HH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";64
DENW008;Dortmund-Eving;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";50
DERP019;Kaiserslautern-Rathausplatz;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";98
DESN074;Schwartenberg;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";89
DETH042;Possen;TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";86
DEBE010;"B Wedding-Amrumer Str.";BE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";55
DEBW112;Gaertringen;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";94
DEBY196;Garmisch-Partenkirchen/Wasserwerk;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";92
DEMV004;G�lzow;MV;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";66
DENW030;Wesel-Feldmark;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";51
DERP023;Worms-Hagenstra�e;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";93
DESN080;Schkeuditz;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";86
DETH095;"M�hlhausen Bastmarkt ";TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";82
DEBE034;"B Neuk�lln-Nansenstra�e";BE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";59
DEBY005;Aschaffenburg/Bussardweg;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";100
DEHB005;Bremerhaven;HB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";65
DEMV017;G�hlen;MV;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";62
DENW042;Krefeld-Linn;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";88
DERP028;Westerwald-Neuh�usel;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";90
DESN092;Dresden-Winckelmannstr.;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";90
DEUB028;Zingst;UB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";72
DEBE062;"B Frohnau, Funkturm (3.5 m)";BE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";65
DEBY020;Hof/LfU;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";85
DEHE005;Frankfurt-H�chst;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";102
DEMV024;Leizen;MV;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";61
DENW064;"Simmerath (Eifel)";NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";90
DESL002;"Bexbach Schule";SL;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";98
DEST015;Bitterfeld/Wolfen;ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";87
